industry_code	industry_name	division_code	division_name	major_group_code	major_group_name	industry_group_code	industry_group_name	industry_definition	industry_definition_list</li>
111	<li>Wheat farms</li>
112	<li>Rice farms</li>
115	<li>Corn farms, except sweet corn or popcorn</li>
116	<li>Soybean farms</li>
119	<li>Barley farms </li><li>Bean farms, dry field and seed </li><li>Buckwheat farms </li><li>Cowpea farms </li><li>Flaxseed farms </li><li>Grain farms: except wheat, rice, corn, and soybeans </li><li>Lentil farms </li><li>Milo farms </li><li>Mustard seed farms </li><li>Oat farms </li><li>Pea farms, dry field and seed </li><li>Popcorn farms </li><li>Rye farms </li><li>Safflower farms </li><li>Sorghum farms, except for syrup </li><li>Sunflower farms</li>
131	<li>Cotton farms </li><li>Cottonseed farms</li>
132	<li>Tobacco farms</li>
133	<li>Beet farms, sugar </li><li>Cane farms, sugar </li><li>Sugar beet farms </li><li>Sugarcane farms</li>
134	<li>Potato farms, Irish </li><li>Potato farms, except sweet potato and yam</li>
139	<li>Alfalfa farms </li><li>Broomcorn farms </li><li>Clover farms </li><li>Grass seed farms </li><li>Hay farms </li><li>Hop farms </li><li>Mint farms </li><li>Peanut farms </li><li>Potato farms, sweet </li><li>Sweet potato farms </li><li>Timothy farms </li><li>Yam farms</li>
161	<li>Asparagus farms </li><li>Bean farms, except dry beans </li><li>Beet farms, except sugar beet </li><li>Bok choy farms </li><li>Broccoli farms </li><li>Cabbage farms </li><li>Cantaloupe farms </li><li>Cauliflower farms </li><li>Celery farms </li><li>Corn farms, sweet </li><li>Cucumber farms </li><li>English pea farms </li><li>Green lima bean farms </li><li>Green pea farms </li><li>Lettuce farms </li><li>Market gardens </li><li>Melon farms </li><li>Onion farms </li><li>Pea farms, except dry peas </li><li>Pepper farms, sweet and hot (vegetables) </li><li>Romaine farms </li><li>Snap bean farms (bush and pole) </li><li>Squash farms </li><li>Tomato farms </li><li>Truck farms </li><li>Vegetable farms </li><li>Watermelon farms</li>
171	<li>Berry farms </li><li>Blackberry farms </li><li>Blueberry farms </li><li>Cranberry bogs </li><li>Currant farms </li><li>Dewberry farms </li><li>Loganberry farms </li><li>Raspberry farms </li><li>Strawberry farms</li>
172	<li>Grape farms </li><li>Vineyards</li>
173	<li>Almond groves and farms </li><li>Filbert groves and farms </li><li>Macadamia groves and farms </li><li>Pecan groves and farms </li><li>Pistachio groves and farms </li><li>Walnut groves and farms</li>
174	<li>Citrus groves and farms </li><li>Grapefruit groves and farms </li><li>Lemon groves and farms </li><li>Lime groves and farms </li><li>Orange groves and farms </li><li>Tangerine groves and farms</li>
175	<li>Apple orchards and farms </li><li>Apricot orchards and farms </li><li>Cherry orchards and farms </li><li>Nectarine orchards and farms </li><li>Peach orchards and farms </li><li>Pear orchards and farms </li><li>Persimmon orchards and farms </li><li>Plum orchards and farms </li><li>Pomegranate orchards and farms </li><li>Prune orchards and farms </li><li>Quince orchards and farms</li>
179	<li>Avocado orchards and farms </li><li>Banana farms </li><li>Coffee farms </li><li>Date orchards and farms </li><li>Fig orchards and farms </li><li>Kiwi fruit farms </li><li>Olive groves and farms </li><li>Pineapple farms </li><li>Plantain farms </li><li>Tropical fruit farms</li>
181	<li>Bedding plants, growing of </li><li>Bulbs, growing of </li><li>Field nurseries: growing of flowers and shrubbery, except forest </li><li>Florists'greens, cultivated growing of </li><li>Flowers, growing of </li><li>Foliage, growing of </li><li>Fruit stocks, growing of </li><li>Greenhouses for floral products </li><li>Mats, preseeded: soil erosion-growing of </li><li>Nursery stock, growing of </li><li>Plants, ornamental: growing of </li><li>Plants, potted:  growing of </li><li>Rose growers </li><li>Seeds, flower and vegetable: growing of </li><li>Shrubberies, except forest shrubbery: growing of </li><li>Sod farms </li><li>Vegetable bedding plants, growing of</li>
182	<li>Bean sprouts grown under cover </li><li>Fruits grown under cover </li><li>Greenhouses for food crops </li><li>Hydroponic crops, grown under cover </li><li>Mushroom spawn, production of </li><li>Mushrooms, growing of </li><li>Rhubarb grown under cover </li><li>Seaweed grown under cover </li><li>Tomatoes grown under cover </li><li>Truffles grown under cover </li><li>Vegetables grown under cover</li>
191	<li>Crop farms, general</li>
211	<li>Cattle feeding farms </li><li>Cattle feedlot operations </li><li>Feedlots, cattle </li><li>Stock yards, exclusively for fattening cattle</li>
212	<li>Beef cattle farms, except feedlots </li><li>Cattle raising farms </li><li>Cattle ranches</li>
213	<li>Feedlots, hog </li><li>Hog farms</li>
214	<li>Feedlots, lamb </li><li>Goat farms </li><li>Goats'milk production </li><li>Mohair production </li><li>Sheep feeding farms and ranches </li><li>Sheep raising farms and ranches </li><li>Wool production</li>
219</li>
241	<li>Dairy farms </li><li>Dairy heifer replacement farms </li><li>Milk production, dairy cattle farm</li>
251	<li>Broiler chickens, raising of </li><li>Chicken farms or ranches, raising for slaughter </li><li>Cornish hen farms </li><li>Frying chickens, raising of </li><li>Roasting chickens, raising of</li>
252	<li>Chicken egg farms </li><li>Started pullet farms</li>
253	<li>Turkey egg farms and ranches </li><li>Turkey farms and ranches</li>
254	<li>Chicken hatcheries </li><li>Egg hatcheries, poultry </li><li>Poultry hatcheries</li>
259	<li>Duck farms </li><li>Egg farms, poultry: except chicken and turkey </li><li>Geese farms </li><li>Pheasant farms </li><li>Pigeon farms </li><li>Quail farms </li><li>Squab farms</li>
271	<li>Chinchilla farms </li><li>Fox farms </li><li>Fur farms </li><li>Game farms (fur-bearing animals) </li><li>Mink farms </li><li>Rabbit farms</li>
272	<li>Burro farms </li><li>Donkey farms </li><li>Horse farms </li><li>Mule farms </li><li>Pony farms</li>
273	<li>Catfish farms </li><li>Crustacean farms </li><li>Finfish farms </li><li>Fish farms, except hatcheries </li><li>Goldfish farms </li><li>Minnow farms </li><li>Mollusk farms </li><li>Tropical aquarium fish farms </li><li>Trout farms</li>
279	<li>Alligator farms </li><li>Apiaries </li><li>Aviaries (e.g., parakeet, canary, lovebirds) </li><li>Bee farms </li><li>Cat farms </li><li>Dog farms </li><li>Earthworm hatcheries </li><li>Frog farms </li><li>Honey production </li><li>Kennels, breeding and raising own stock </li><li>Laboratory animal farms (e.g., rats, mice, guinea pigs) </li><li>Rattlesnake farms </li><li>Silk (raw) production and silkworm farms </li><li>Worm farms</li>
291	<li>Animal specialty and livestock farms, general </li><li>Livestock and animal specialty farms, general</li>
711	<li>Chemical treatment of coil for crops </li><li>Fertilizer application for crops </li><li>Lime spreading for crops </li><li>Plowing </li><li>Seed bed preparation </li><li>Weed control, crop; before planting</li>
721	<li>Aerial dusting and spraying </li><li>Bracing of orchard trees and vines </li><li>Citrus grove cultivation services </li><li>Cultivation services, mechanical and flame </li><li>Detasseling of corn </li><li>Disease control for crops, with or without fertilizing </li><li>Dusting crops, with or without fertilizing </li><li>Entomological service, agricultural </li><li>Hoeing </li><li>Insect control for crops, with or without fertilizing </li><li>Irrigation system operation services (not providing water) </li><li>Orchard cultivation services </li><li>Planting crops, with or without fertilizing </li><li>Pollinating </li><li>Pruning of orchard trees and vines </li><li>Seeding crops, with or without fertilizing </li><li>Seeding of sprouts and twigs </li><li>Spraying crops, with or without fertilizing </li><li>Surgery on orchard trees and vines </li><li>Thinning of crops, mechanical and chemical </li><li>Trees orchard: cultivation of </li><li>Trees orchard: planting, pruning, bracing, spraying, removal, and </li><li>Vineyard cultivation services </li><li>Weed control, crop: after planting</li>
722	<li>Berries, machine harvesting of </li><li>Chopping and silo filling </li><li>Combining, agricultural </li><li>Cotton, machine harvesting of </li><li>Fruits, machine harvesting of </li><li>Grain, machine harvesting of </li><li>Hay mowing, raking, baling and chopping </li><li>Nuts, machine harvesting of </li><li>Peanuts, machine harvesting of </li><li>Sugar beets, machine harvesting of </li><li>Sugarcane, machine harvesting of </li><li>Threshing service </li><li>Vegetables, machine harvesting of</li>
723	<li>Bean cleaning </li><li>Corn shelling </li><li>Cotton seed delinting </li><li>Drying of corn, rice, hay, fruits, and vegetables </li><li>Flax decorticating and retting </li><li>Fruit precooling, not in connection with transportation </li><li>Fruit vacuum cooling </li><li>Grain cleaning </li><li>Grain fumigation </li><li>Grain grinding, custom </li><li>Moss ginning </li><li>Nut hulling and shelling </li><li>Packaging fresh or farm dried fruits and vegetables </li><li>Peanut shelling, custom </li><li>Potato curing </li><li>Seed cleaning </li><li>Sorting, grading, and packing of fruits and vegetables </li><li>Sweet potato curing </li><li>Tobacco grading </li><li>Vegetable precooling, not in connection with transportation </li><li>Vegetable vacuum cooling</li>
724	<li>Cotton ginning </li><li>Cotton pickery </li><li>Gins, cotton: operation of</li>
741	<li>Animal hospitals for livestock </li><li>Veterinarians for livestock </li><li>Veterinary services for livestock</li>
742	<li>Animal hospitals for pet and other animal specialties </li><li>Pet hospitals </li><li>Veterinarians for pets and other animal specialties </li><li>Veterinary services for pet and other animal specialties</li>
751	<li>Artificial insemination services: livestock </li><li>Breeding of livestock </li><li>Cattle spraying </li><li>Cleaning poultry coops </li><li>Dairy herd improvement associations </li><li>Livestock breeding services </li><li>Milk testing for butterfat </li><li>Pedigree record services for cattle, hogs, sheep, goats, and poultry </li><li>Sheep dipping and shearing </li><li>Showing of cattle, hogs, sheep, goats, and poultry </li><li>Slaughtering, custom: for individuals </li><li>Vaccinating livestock, except by veterinarians</li>
752	<li>Animal shelters </li><li>Artificial insemination services: animal specialties </li><li>Boarding horses </li><li>Boarding kennels </li><li>Breeding of animals, other than cattle hogs, sheep, goats, and poultry </li><li>Dog grooming </li><li>Dog pounds </li><li>Honey straining on the farm </li><li>Pedigree record services for pets and other animal specialties </li><li>Showing of pets and other animal specialties </li><li>Training horses, except racing </li><li>Training of pets and other animal specialties </li><li>Vaccinating pets and other animal specialties, except by veterinarians</li>
761	<li>Crew leaders, farm labor: contract </li><li>Farm labor contractors</li>
762	<li>Citrus grove management and maintenance, with or without crop </li><li>Farm management services </li><li>Orchard management and maintenance, with or without crop services </li><li>Vineyard management and maintenance, with or without crop services</li>
781	<li>Garden planning </li><li>Horticultural advisory or counseling services </li><li>Landscape architects </li><li>Landscape counseling </li><li>Landscape planning</li>
782	<li>Bermuda sprigging services </li><li>Cemetery upkeep, independent </li><li>Garden maintenance </li><li>Garden planting </li><li>Lawn care </li><li>Lawn fertilizing services </li><li>Lawn mowing services </li><li>Lawn mulching services </li><li>Lawn seeding services </li><li>Lawn spraying services </li><li>Lawn sprigging services </li><li>Mowing highway center strips and edges </li><li>Seeding highway strips </li><li>Sod laying </li><li>Turf installation, except artificial</li>
783	<li>Arborist services </li><li>Ornamental bush planting, pruning, bracing, spraying, removal, and </li><li>Ornamental tree planting, pruning, bracing, spraying, removal, and </li><li>Tree trimming for public utility lines </li><li>Trees, ornamental: planting, pruning, bracing, spraying, removal, and </li><li>Utility line tree trimming services</li>
811	<li>Christmas tree growing </li><li>Timber tracts </li><li>Tree farms</li>
831	<li>Balsam needles, gathering of </li><li>Distillation of gums if carried on at the gum farm </li><li>Distillation of turpentine and rosin if carried on at the gum farm </li><li>Forest nurseries </li><li>Gathering of forest products: (e.g., gums, barks, seeds) </li><li>Ginseng, gathering of </li><li>Huckleberry greens, gathering of </li><li>Lac production </li><li>Maple sap, gathering of </li><li>Moss, gathering of </li><li>Pine gum, extraction of </li><li>Rubber plantations </li><li>Spanish moss, gathering of </li><li>Sphagnum moss, gathering of </li><li>Teaberries, gathering of </li><li>Tree seed gathering, extracting, and selling</li>
851	<li>Cruising timber </li><li>Estimating timber </li><li>Fire prevention, forest </li><li>Firefighting, forest </li><li>Forest management plans, preparation of </li><li>Forestry services </li><li>Pest control, forest </li><li>Reforestation </li><li>Timber valuation</li>
912	<li>Bluefish, catching of </li><li>Cod, catching of </li><li>Eels, catching of </li><li>Finfish, catching of </li><li>Fisheries, finfish </li><li>Haddock, catching of </li><li>Mackerel, catching of </li><li>Menhaden, catching of </li><li>Pilchard, catching of </li><li>Pollack, catching of </li><li>Rays, catching of </li><li>Salmon, catching of </li><li>Sea herring, catching of </li><li>Sharks, catching of </li><li>Tuna, catching of </li><li>Whiting, catching of</li>
913	<li>Clams, digging of </li><li>Crab, catching of </li><li>Crayfish, catching of </li><li>Fisheries, shellfish </li><li>Lobsters, catching of </li><li>Mussels, taking of </li><li>Oyster beds </li><li>Oysters, dredging or tonging of </li><li>Shellfish, catching of </li><li>Shrimp, catching of </li><li>Squid, catching of</li>
919	<li>Cultured pearl production </li><li>Frogs, catching of </li><li>Sea urchins, catching of </li><li>Seaweed, gathering of </li><li>Sponges, gathering of </li><li>Terrapins, catching of </li><li>Turtles, catching of</li>
921	<li>Fish hatcheries </li><li>Fishing preserves</li>
971	<li>Animal trapping, commercial </li><li>Game management </li><li>Game preserves </li><li>Game propagation </li><li>Game retreat, operation of </li><li>Hunting carried on as a business enterprise </li><li>Hunting preserves, operation of </li><li>Trapping carried on as a business enterprise </li><li>Wildlife management</li>
1011	<li>Brown ore mining </li><li>Hematite mining </li><li>Iron agglomerate and pellet production </li><li>Iron ore dressing (beneficiation) plants </li><li>Iron ore mining </li><li>Iron ore, blocked: mining </li><li>Limonite mining </li><li>Magnetite mining </li><li>Manganiferous ore mining, valued chiefly for iron content </li><li>Siderite mining </li><li>Sintering of iron ore at the mine </li><li>Taconite mining</li>
1021	<li>Chalcocite mining </li><li>Chalcopyrite mining </li><li>Copper ore mining </li><li>Cuprite mining</li>
1031	<li>Blende (zinc) mining </li><li>Calamine mining </li><li>Cerrusite mining </li><li>Galena mining </li><li>Lead ore mining </li><li>Lead-zinc ore mining </li><li>Smithsonite mining </li><li>Sphalerite mining </li><li>Willemite mining </li><li>Zinc ore mining </li><li>Zinc-blende (sphalerite) mining </li><li>Zincite mining</li>
1041	<li>Bullion, gold: produced at mine, mill, or dredge site </li><li>Calaverite mining </li><li>Lode gold mining </li><li>Placer gold mining </li><li>Sylvanite mining </li><li>Telluride (gold) mining</li>
1044	<li>Bullion, silver: produced at mine or mill site </li><li>Silver ore mining</li>
